"","original_shape_Elongation","original_shape_Flatness","original_shape_LeastAxisLength","original_shape_MajorAxisLength","original_shape_Maximum2DDiameterColumn","original_shape_Maximum2DDiameterRow","original_shape_Maximum2DDiameterSlice","original_shape_Maximum3DDiameter","original_shape_MeshVolume","original_shape_MinorAxisLength","original_shape_Sphericity","original_shape_SurfaceArea","original_shape_SurfaceVolumeRatio","original_firstorder_10Percentile","original_firstorder_90Percentile","original_firstorder_Energy","original_firstorder_Entropy","original_firstorder_InterquartileRange","original_firstorder_Kurtosis","original_firstorder_Maximum","original_firstorder_Mean","original_firstorder_MeanAbsoluteDeviation","original_firstorder_Median","original_firstorder_Minimum","original_firstorder_Range","original_firstorder_RobustMeanAbsoluteDeviation","original_firstorder_RootMeanSquared","original_firstorder_Skewness","original_firstorder_Uniformity","original_firstorder_Variance","original_glcm_Autocorrelation","original_glcm_JointAverage","original_glcm_ClusterProminence","original_glcm_ClusterShade","original_glcm_ClusterTendency","original_glcm_Contrast","original_glcm_Correlation","original_glcm_DifferenceAverage","original_glcm_DifferenceEntropy","original_glcm_DifferenceVariance","original_glcm_JointEnergy","original_glcm_JointEntropy","original_glcm_Imc1","original_glcm_Imc2","original_glcm_Idm","original_glcm_Idmn","original_glcm_Id","original_glcm_Idn","original_glcm_InverseVariance","original_glcm_MaximumProbability","original_glcm_SumEntropy","original_glcm_SumSquares","original_glrlm_GrayLevelNonUniformity","original_glrlm_GrayLevelNonUniformityNormalized","original_glrlm_GrayLevelVariance","original_glrlm_HighGrayLevelRunEmphasis","original_glrlm_LongRunEmphasis","original_glrlm_LongRunHighGrayLevelEmphasis","original_glrlm_LongRunLowGrayLevelEmphasis","original_glrlm_LowGrayLevelRunEmphasis","original_glrlm_RunEntropy","original_glrlm_RunLengthNonUniformity","original_glrlm_RunLengthNonUniformityNormalized","original_glrlm_RunPercentage","original_glrlm_RunVariance","original_glrlm_ShortRunEmphasis","original_glrlm_ShortRunHighGrayLevelEmphasis","original_glrlm_ShortRunLowGrayLevelEmphasis","original_glszm_GrayLevelNonUniformity","original_glszm_GrayLevelNonUniformityNormalized","original_glszm_GrayLevelVariance","original_glszm_HighGrayLevelZoneEmphasis","original_glszm_LargeAreaEmphasis","original_glszm_LargeAreaHighGrayLevelEmphasis","original_glszm_LargeAreaLowGrayLevelEmphasis","original_glszm_LowGrayLevelZoneEmphasis","original_glszm_SizeZoneNonUniformity","original_glszm_SizeZoneNonUniformityNormalized","original_glszm_SmallAreaEmphasis","original_glszm_SmallAreaHighGrayLevelEmphasis","original_glszm_SmallAreaLowGrayLevelEmphasis","original_glszm_ZoneEntropy","original_glszm_ZonePercentage","original_glszm_ZoneVariance","original_gldm_DependenceEntropy","original_gldm_DependenceNonUniformity","original_gldm_DependenceNonUniformityNormalized","original_gldm_DependenceVariance","original_gldm_GrayLevelNonUniformity","original_gldm_GrayLevelVariance","original_gldm_HighGrayLevelEmphasis","original_gldm_LargeDependenceEmphasis","original_gldm_LargeDependenceHighGrayLevelEmphasis","original_gldm_LargeDependenceLowGrayLevelEmphasis","original_gldm_LowGrayLevelEmphasis","original_gldm_SmallDependenceEmphasis","original_gldm_SmallDependenceHighGrayLevelEmphasis","original_gldm_SmallDependenceLowGrayLevelEmphasis","original_ngtdm_Busyness","original_ngtdm_Coarseness","original_ngtdm_Complexity","original_ngtdm_Contrast","original_ngtdm_Strength"
"original_shape_Elongation",1,0.80959621273754,0.165543434950139,-0.438227616341186,-0.0938511685938853,-0.0545156600125853,-0.00283122780762126,-0.248173960673205,0.0748557949921175,0.149508342144663,0.395512363152777,0.0237348918608555,-0.249418718889655,0.0442545883256298,-0.0179654334939928,0.0693903117108192,-0.0694427629317266,-0.0937589185681065,0.038919417712415,0.00747482029396635,0.0817971784205407,-0.0536738528550246,0.123986531616531,0.0159877503062936,-0.00989302476059507,-0.0763810850250212,0.0804411011705555,-0.105181497181999,0.0610613690269927,-0.0582390535831558,0.0305961860020593,0.0354149393945027,-0.0317840306498939,-0.0432701738745992,-0.0641445836552776,-0.0870503550236493,0.0496916567533575,-0.092071807178969,-0.0634915114521626,-0.0513679605318573,0.050521040778023,-0.059643768064149,0.0951581086369734,-0.0635902499550432,0.0916516105174829,0.0717331225126247,0.0920623826050854,0.0948016217569503,0.0952500520125862,0.0786442004411261,-0.0713544848821887,-0.071401264609365,0.0521114588437998,0.0444683721907921,-0.0481286648560048,0.0170182935221494,0.0743956214638578,0.113954704035981,-0.017417995730217,-0.0551081639423676,-0.0120743014395091,0.0844221276463449,-0.110523984812421,-0.109457543680109,0.0695915959869823,-0.0995418067617628,-0.00468644954922407,-0.0576198183889143,0.066286563579631,-0.0263267947601153,-0.0149443743373906,-0.0293659853014372,0.029958156453207,0.0673365026283018,0.0170718679951989,0.0148445535684368,0.0855280702791592,0.00655806686888657,0.0100090286978804,-0.029151163975907,0.0193822171020546,0.0454157463307233,-0.117137874616403,0.030014081945324,0.0499139190455569,0.0795598319615987,-0.1323570759802,0.129396181234854,0.0486995501786956,-0.058334563810692,0.0231435540495021,0.0945829269853123,0.162124722508697,-0.00750714853311079,-0.0696549894424959,-0.112150982787568,-0.099846268777503,-0.0494668933772065,0.0250612669021239,-0.0813968613106007,-0.0464100956035068,-0.0921080403268393,-0.101971480192354
"original_shape_Flatness",0.80959621273754,1,0.255909222272852,-0.430287075728654,-0.114405424388718,-0.0873127627559291,-0.0636793818352703,-0.272027112281155,0.0787303079291309,0.0405190020623887,0.489406736117649,0.00753218226477317,-0.278850441541531,0.0521651251093213,-0.058861306754846,0.0710529152449991,-0.0989283485703973,-0.0979438086684526,0.0886993480669679,-0.0545868203902101,0.0860875391604402,-0.062431968675755,0.134694546429198,0.018084450994074,-0.0435546683179847,-0.0818395603768359,0.0830811820578812,-0.197382949716656,0.0986185006020875,-0.0715374981192626,0.0234396842567736,0.0358279432672721,-0.0551567774922394,-0.0427465606870223,-0.0803110222907825,-0.104780748937115,0.0299474394457424,-0.113486740216682,-0.0834640070895981,-0.061699106933261,0.0921179992100123,-0.0914373681173381,0.124797994176951,-0.0953879047497506,0.124751558774678,0.0760002799932513,0.123831691479359,0.112255505436295,0.118109140486096,0.126288962303637,-0.104080049807336,-0.0885057364656677,0.0598011122409763,0.0758718286847627,-0.0622186327553266,0.00293786691486213,0.104861715234637,0.127468927452961,-0.0288824148020242,-0.047749564000646,-0.0304942135101287,0.0817728828256414,-0.14484432393863,-0.146946885634107,0.097995769955724,-0.134105166737382,-0.0238228368563459,-0.0441334807889219,0.0632158622332091,-0.0281486003933022,-0.0538190993647371,-0.0719942113956551,0.0268289223256359,0.0934825901475326,0.00329743446269005,0.0377514282134418,0.088362229715012,0.0365615246424419,0.0412463274202006,-0.0726199043911923,0.0468151211452655,0.00641917346657071,-0.134795807508908,0.0268946104889046,0.0276262066430263,0.0741083950800369,-0.166689110345735,0.17923997904456,0.0549939772761131,-0.0716360028862539,0.0120429533977546,0.134856842475945,0.193537698503074,-0.0255312912219332,-0.068291144591881,-0.131035769477381,-0.137080457111934,-0.0306549866396623,0.00378256361754708,-0.0947409196837121,-0.077475787021463,-0.0880870306338405,-0.117098129519362
"original_shape_LeastAxisLength",0.165543434950139,0.255909222272852,1,0.632938248001994,0.850800327489921,0.873989202232459,0.854442022828722,0.805981769440659,0.874994307241176,0.921005360832953,-0.354810562084417,0.920699780722672,-0.819248913493733,0.550236509138891,0.239437801766566,0.858780963552296,-0.61391358201745,-0.558788935076079,0.594948291684282,0.415894019454319,0.579838446214645,-0.526254431872156,0.525865823903913,0.4524598929412,-0.175066385915617,-0.548011608489264,0.59261981803712,-0.460155091856392,0.616391550790667,-0.428161913043243,-0.270033438932085,-0.312259511286007,-0.135042650405365,0.0486505336076283,-0.342030132588355,-0.561711149598183,0.100849121742544,-0.646031765922039,-0.652828624756995,-0.527758854106994,0.520393511931934,-0.48919347392817,0.607418809426454,-0.644324835404991,0.677576292367669,0.707207313209716,0.67970011070943,0.74235500528327,0.68071032245865,0.505385581756026,-0.5492863840789,-0.401369999348646,0.799862434578946,0.618440695527486,-0.41090681377759,-0.256489800673688,0.587396007203277,0.0928718275904891,0.200778092799672,-0.0912569992179558,-0.420582563377308,0.871394024541033,-0.721488867513996,-0.701630512597964,0.540102295377016,-0.711345073552498,-0.315345099444469,-0.164291884177993,0.853634465962736,0.373252084526238,-0.292008631333839,-0.301434349125746,0.464115212581265,0.721249998400838,0.264560234546577,0.301233979428772,0.734289173945923,-0.524037987942937,-0.508753309430097,-0.318667849712341,0.269526016005483,0.180831457277093,-0.739747405934874,0.464056481843586,0.119480665530722,0.84675078408077,-0.672702922366012,0.532626525090422,0.735884122795969,-0.428088334845114,-0.251511898276868,0.631875840253821,0.303862535555186,0.305465206782176,-0.146396369961683,-0.739923170788408,-0.535863259400162,-0.509400805237745,0.478396075524095,-0.596671461647832,-0.334178628331095,-0.604283266112576,-0.516344766956969
"original_shape_MajorAxisLength",-0.438227616341186,-0.430287075728654,0.632938248001994,1,0.825991889493804,0.736009809770231,0.775339008570291,0.920199621551489,0.625641347150756,0.723974089673188,-0.598297637661033,0.725181951871672,-0.44434015331189,0.391735930246253,0.162450580479662,0.619519155937786,-0.417049010683679,-0.376586985715693,0.40136367112858,0.303350587082738,0.373573994662013,-0.378634177564373,0.294766192349657,0.342645653245241,-0.138534086560388,-0.379235908877508,0.377817565552089,-0.214419447412475,0.421108394932364,-0.308394636785496,-0.243751561297573,-0.279968794466925,-0.109199034314521,0.077480368576826,-0.235532534419453,-0.368673509280926,0.0483386157132077,-0.422264526613466,-0.452879027680155,-0.376440746013706,0.353764722643726,-0.331769512363454,0.380111400628952,-0.440310643502994,0.445479574208199,0.469452194234181,0.446385241415319,0.478727228198146,0.445487756180774,0.321138608473662,-0.365719125766996,-0.272556690453407,0.582429320818422,0.434474058986627,-0.301679298440696,-0.227281952872494,0.391243154060817,-0.026597163257435,0.17287255899695,-0.0288866906152882,-0.310268410295737,0.62173931584494,-0.470130965257957,-0.455640978456957,0.358436654474704,-0.470089675892816,-0.256666738855012,-0.0841899542209666,0.624888009404569,0.30858300985685,-0.222835157486076,-0.219505823813108,0.33209577825984,0.478258558998364,0.196179970219014,0.221832179462275,0.504862695314138,-0.412443364176005,-0.403792938628636,-0.229171956043585,0.194460308020894,0.127308932072289,-0.475488932637237,0.331996536937418,0.0602233231718279,0.60340164822569,-0.396267037598439,0.312017661994701,0.533331040463821,-0.308409284919174,-0.227906331576083,0.411613162134424,0.110851275964079,0.247753529587078,-0.0610368539849722,-0.478028845792177,-0.345042958456015,-0.341198975325391,0.369157952262374,-0.402331449139843,-0.232967341246416,-0.408011909047939,-0.355881916984402
"original_shape_Maximum2DDiameterColumn",-0.0938511685938853,-0.114405424388718,0.850800327489921,0.825991889493804,1,0.891771976507459,0.860675064807221,0.92880652459039,0.796875383996176,0.896720733789028,-0.546324478440557,0.900989477201185,-0.698140068108789,0.517741260189587,0.266189127282535,0.787455220688308,-0.559107981666438,-0.502849469401263,0.526105706259421,0.415069571360971,0.536456821465364,-0.48974183013166,0.46767394873841,0.444713530568925,-0.168836993864848,-0.499186884091682,0.55119440057169,-0.318374922128851,0.561183333755749,-0.388887260465219,-0.280533728081866,-0.330904740314897,-0.105612233392401,0.055792023086424,-0.298618700098702,-0.505727590268019,0.0888893436913068,-0.586556416899068,-0.605807631473552,-0.485537091790662,0.473618501803836,-0.438486897353534,0.543213836725535,-0.582368822828652,0.615374768886471,0.655228110430781,0.617762235652451,0.674190172355731,0.617826717799525,0.448322080663225,-0.492297183219583,-0.353667573470253,0.731625990744228,0.571474910570652,-0.377747119038666,-0.259195823782809,0.537516260683462,0.0207580893074414,0.239424269144915,-0.051766135283138,-0.396166239448226,0.792601195686539,-0.650142085841715,-0.629772127963445,0.495176345509872,-0.644255658302414,-0.304148796318851,-0.130371534803314,0.784948483725692,0.390395646347511,-0.273359718971047,-0.269154756277309,0.44161865220239,0.605088245434196,0.270861208840647,0.281147155057146,0.644972639957347,-0.537384812335846,-0.527632282959184,-0.285873715935301,0.242291308746364,0.177106633368803,-0.674578546625132,0.441469894030702,0.120778447899543,0.771339964612202,-0.596958302871235,0.454106588722339,0.674564356946331,-0.388838239015329,-0.258397560803515,0.566766361808154,0.199130405099429,0.347089111608979,-0.0952310818908238,-0.675198694124704,-0.472137451328453,-0.4960554810186,0.484727331288032,-0.546409239110273,-0.297113292298163,-0.554549322936485,-0.467760418499714
"original_shape_Maximum2DDiameterRow",-0.0545156600125853,-0.0873127627559291,0.873989202232459,0.736009809770231,0.891771976507459,1,0.857859774781762,0.903198354907925,0.820198943227605,0.912454178085503,-0.566187603892827,0.929226169489658,-0.722172938778675,0.53127603425451,0.277958792202479,0.809245665920342,-0.576366013404877,-0.522500445019841,0.557938115659269,0.425709182176764,0.559362671154092,-0.500186174249635,0.498533676706482,0.442918689757764,-0.161833444212361,-0.515570173436796,0.575131141006442,-0.388147459384608,0.578049602476512,-0.39932648617349,-0.265475215271902,-0.31188317491031,-0.113465826749248,0.052179455613461,-0.312602242810426,-0.525708374553284,0.0877385085813761,-0.608762969085406,-0.621523434534168,-0.493228963311843,0.492163928299376,-0.455466398826315,0.563392425102183,-0.595997187552883,0.642235017292723,0.676544736095264,0.644266046465328,0.705022322025885,0.641255153522372,0.474039594949078,-0.509808660198932,-0.369445533597992,0.749685808463542,0.582622035821997,-0.384891836389319,-0.247769428942296,0.563510166617734,0.0638063767274415,0.225310239922394,-0.077632284492274,-0.399232766912477,0.811152247170026,-0.675912689560286,-0.657368098330356,0.522682863167665,-0.667936463780553,-0.299283508303559,-0.153277300820016,0.806967250349046,0.381955181210566,-0.271051270940299,-0.271974145561828,0.451710885426254,0.65851118394368,0.270467309236493,0.274903813457606,0.680504371492702,-0.51214864687527,-0.498363403413605,-0.288404347683526,0.241418385710206,0.176481898814769,-0.69644680937707,0.451607760259409,0.130447981621321,0.787654598995639,-0.626652451330685,0.491799688796788,0.698275702679443,-0.399220607284826,-0.245216515984675,0.594422739576703,0.25485627656422,0.32761687547102,-0.125815209696284,-0.696035814508569,-0.492165755452833,-0.498790641368356,0.463649593497083,-0.56269302825505,-0.303028267036757,-0.574954546092922,-0.483563239848443
"original_shape_Maximum2DDiameterSlice",-0.00283122780762126,-0.0636793818352703,0.854442022828722,0.775339008570291,0.860675064807221,0.857859774781762,1,0.89790116571028,0.771202366293383,0.922040640706374,-0.539636814675256,0.865524642399367,-0.708245872748085,0.50473321596282,0.235350759903938,0.756568803626817,-0.550214872817818,-0.512326682004119,0.522888694947889,0.429915488714416,0.524318977026542,-0.484452031487275,0.461669926985468,0.42225739998815,-0.141929928362763,-0.502935495915469,0.535493117687655,-0.359532220632842,0.556596478042419,-0.393258988743254,-0.263023131864675,-0.304262535235141,-0.123376371215282,0.0614610064289442,-0.305863015239154,-0.508502974053938,0.0943998284323899,-0.583256477574322,-0.589992837347018,-0.488145810142325,0.46724015930763,-0.425590625455562,0.566961666635431,-0.595848325926045,0.60848917071366,0.656497544187378,0.610788207954362,0.678835686235569,0.612088235480805,0.450334857052389,-0.484783311763336,-0.360238002882012,0.7037742789546,0.558983478449925,-0.377875452234432,-0.246425563954823,0.517827123550354,0.0591826733695544,0.184790030692091,-0.0899643389045552,-0.378874261516365,0.77827046376883,-0.642883193647606,-0.624052488971575,0.475928413806871,-0.632394891137095,-0.29615102279205,-0.15982139089837,0.777382939359706,0.349907939033163,-0.263704418473666,-0.2649120242428,0.390690959389671,0.60353705617357,0.22597747381859,0.263262494762903,0.66826682089518,-0.500092140785002,-0.485159192251637,-0.280166508527022,0.232145280051684,0.192112989433114,-0.665744902253528,0.3906135806616,0.126044313915372,0.757389815650289,-0.596848530753801,0.475023033688121,0.646656899055594,-0.393146836113262,-0.243205197773703,0.559234202073144,0.25284421901724,0.285364660648716,-0.137814694885428,-0.66637070172625,-0.472694357965585,-0.491511617440136,0.424272004252005,-0.566163405609048,-0.295327751989673,-0.562940028480889,-0.492183463517688
"original_shape_Maximum3DDiameter",-0.248173960673205,-0.272027112281155,0.805981769440659,0.920199621551489,0.92880652459039,0.903198354907925,0.89790116571028,1,0.761071560544351,0.884380404440633,-0.633949732754841,0.873853410971402,-0.635480733675116,0.505083122689207,0.254215153204072,0.752978076251954,-0.542696866327799,-0.492163075021542,0.515371064002054,0.406940191558763,0.512733333608984,-0.479764173714644,0.436380596507706,0.432095049431562,-0.162173562500163,-0.489150240150413,0.524238787140126,-0.319479554334335,0.548152143845579,-0.386240964890672,-0.278938859973664,-0.32517393263645,-0.122511012672048,0.0732922517662939,-0.299751507889219,-0.484289092261621,0.0690868474356559,-0.560391108480229,-0.58514602679124,-0.471584785288894,0.465095808896973,-0.428870679497214,0.519965716557558,-0.566523987576735,0.596173839646771,0.62500803423291,0.597245098927984,0.645134372994352,0.591908846372779,0.440777124143358,-0.477403475860532,-0.350065488639329,0.70104994610491,0.557688408517427,-0.374549782024184,-0.260125429305154,0.519900741935051,0.0178753971088963,0.222782066772362,-0.0491551004807026,-0.385706326922766,0.752928407272442,-0.628264428186329,-0.61043784978075,0.478212097829609,-0.624190412773389,-0.303890117049155,-0.122180286198584,0.752419930750839,0.382081507633913,-0.269081108205959,-0.266670651233549,0.414098524495192,0.591759307764663,0.247437786873491,0.278238192604802,0.62299754992726,-0.502943177052492,-0.491921950972658,-0.280089534804343,0.243312447994421,0.162917281164725,-0.638694637746218,0.413954953362354,0.108521049694834,0.730277173054387,-0.559636065565324,0.445850527848416,0.647919182081543,-0.386192841886567,-0.259144421299667,0.552569667718845,0.198223940799545,0.323975281207026,-0.0932075184937111,-0.639932826840806,-0.453788061379707,-0.460672025631545,0.447330225031841,-0.53295659435888,-0.287501485741109,-0.536571186922961,-0.460860525492377
"original_shape_MeshVolume",0.0748557949921175,0.0787303079291309,0.874994307241176,0.625641347150756,0.796875383996176,0.820198943227605,0.771202366293383,0.761071560544351,1,0.859661197061935,-0.247021204813307,0.942326567040617,-0.602833336338544,0.447109351323527,0.179185059356172,0.995895705839978,-0.520631551814728,-0.425396930626113,0.492478249667644,0.341408629381027,0.435915063488325,-0.430075701433169,0.354764636305114,0.40870308043339,-0.175726687761827,-0.428206722607328,0.445499870359533,-0.263123812401318,0.540282604131836,-0.336223267487895,-0.278492236932315,-0.331840001139303,-0.097403433646287,0.0653569742986246,-0.269109925602301,-0.408442762526865,0.0318172627860317,-0.484901114897032,-0.552410593024417,-0.422445110037094,0.48162542741272,-0.458596681229899,0.369730327710147,-0.494913646806737,0.537136456087835,0.51413808023578,0.536627407724453,0.540988062399111,0.514789929140469,0.436627327558457,-0.481808996021852,-0.308705390130932,0.960662792801461,0.54951704648237,-0.328159505077044,-0.264147620051314,0.55895894702246,-0.00246785330123068,0.313241294008613,0.0533383806581658,-0.385449397002315,0.939655230065727,-0.587114774719856,-0.583993583135347,0.527536563782285,-0.598895267232382,-0.301566348487207,-0.016183830957706,0.934753807857029,0.407852102545709,-0.243734762329984,-0.266569550794858,0.64446646878747,0.867140390787573,0.401589721238122,0.311333437053059,0.689923226716701,-0.467696799503753,-0.468270751618571,-0.27594372511428,0.268738525467705,0.0614044566651332,-0.561770112529381,0.644508718481004,-0.0463326247827236,0.920635959193997,-0.45646723126275,0.390010225959436,0.904676259159431,-0.336207812071322,-0.263454498481935,0.550862434709951,0.157213006084815,0.379365056915475,0.0167329636648209,-0.563237915832831,-0.407418503413812,-0.345423110564488,0.664377381474527,-0.361428706202697,-0.266272125779637,-0.421245089463456,-0.318057426284583
"original_shape_MinorAxisLength",0.149508342144663,0.0405190020623887,0.921005360832953,0.723974089673188,0.896720733789028,0.912454178085503,0.922040640706374,0.884380404440633,0.859661197061935,1,-0.48659467579123,0.935396279864328,-0.767657331954165,0.542233612004989,0.27034984883338,0.846525681795487,-0.589215168819322,-0.547653278373223,0.5557594363561,0.447895906683049,0.569124943623965,-0.517645994647409,0.504824204052508,0.456291862202502,-0.161928302806114,-0.53746243011799,0.582776334989467,-0.374663006563121,0.5882834240422,-0.4169758050901,-0.276600630440033,-0.325203347782299,-0.12006563492048,0.0525591348389947,-0.325783508204087,-0.54419477147997,0.111475806800979,-0.625714844756732,-0.636737380323667,-0.519532296176532,0.492587194145256,-0.4616360112215,0.584457288871514,-0.61882711804491,0.65099369091922,0.695830366228469,0.653897776061269,0.72021731601886,0.657293769086015,0.473232842554798,-0.520394612137481,-0.384244601468506,0.785656215489189,0.595135554719609,-0.400667439944653,-0.258300207870918,0.563637515660668,0.0644869517714344,0.216621610633196,-0.0815926380198597,-0.407463790945797,0.860767001683217,-0.691268502152325,-0.669875908022238,0.518316803445017,-0.682022579883669,-0.311448817878001,-0.158525706233437,0.851384236767972,0.385264082930988,-0.273944610240175,-0.27787725539522,0.46168451268943,0.680435749578292,0.274460088757988,0.284395452912523,0.715857768707764,-0.546994560826572,-0.533897672441041,-0.294230668313868,0.246382128743679,0.199304373319246,-0.718149473304334,0.461609369510505,0.134673899987039,0.838605715562427,-0.639102087687084,0.494204868555521,0.723178239279565,-0.416889285388815,-0.255766826525422,0.600436334132825,0.263297276570205,0.323103317996991,-0.130591648302156,-0.717997764818737,-0.507396487787088,-0.519676336007082,0.498995761382785,-0.590092642274898,-0.316083943414972,-0.596773385804356,-0.509730577537746
