"","original_shape_Elongation","original_shape_Flatness","original_shape_LeastAxisLength","original_shape_MajorAxisLength","original_shape_Maximum2DDiameterColumn","original_shape_Maximum2DDiameterRow","original_shape_Maximum2DDiameterSlice","original_shape_Maximum3DDiameter","original_shape_MeshVolume","original_shape_MinorAxisLength","original_shape_Sphericity","original_shape_SurfaceArea","original_shape_SurfaceVolumeRatio","original_firstorder_10Percentile","original_firstorder_90Percentile","original_firstorder_Energy","original_firstorder_Entropy","original_firstorder_InterquartileRange","original_firstorder_Kurtosis","original_firstorder_Maximum","original_firstorder_Mean","original_firstorder_MeanAbsoluteDeviation","original_firstorder_Median","original_firstorder_Minimum","original_firstorder_Range","original_firstorder_RobustMeanAbsoluteDeviation","original_firstorder_RootMeanSquared","original_firstorder_Skewness","original_firstorder_Uniformity","original_firstorder_Variance","original_glcm_Autocorrelation","original_glcm_JointAverage","original_glcm_ClusterProminence","original_glcm_ClusterShade","original_glcm_ClusterTendency","original_glcm_Contrast","original_glcm_Correlation","original_glcm_DifferenceAverage","original_glcm_DifferenceEntropy","original_glcm_DifferenceVariance","original_glcm_JointEnergy","original_glcm_JointEntropy","original_glcm_Imc1","original_glcm_Imc2","original_glcm_Idm","original_glcm_Idmn","original_glcm_Id","original_glcm_Idn","original_glcm_InverseVariance","original_glcm_MaximumProbability","original_glcm_SumEntropy","original_glcm_SumSquares","original_glrlm_GrayLevelNonUniformity","original_glrlm_GrayLevelNonUniformityNormalized","original_glrlm_GrayLevelVariance","original_glrlm_HighGrayLevelRunEmphasis","original_glrlm_LongRunEmphasis","original_glrlm_LongRunHighGrayLevelEmphasis","original_glrlm_LongRunLowGrayLevelEmphasis","original_glrlm_LowGrayLevelRunEmphasis","original_glrlm_RunEntropy","original_glrlm_RunLengthNonUniformity","original_glrlm_RunLengthNonUniformityNormalized","original_glrlm_RunPercentage","original_glrlm_RunVariance","original_glrlm_ShortRunEmphasis","original_glrlm_ShortRunHighGrayLevelEmphasis","original_glrlm_ShortRunLowGrayLevelEmphasis","original_glszm_GrayLevelNonUniformity","original_glszm_GrayLevelNonUniformityNormalized","original_glszm_GrayLevelVariance","original_glszm_HighGrayLevelZoneEmphasis","original_glszm_LargeAreaEmphasis","original_glszm_LargeAreaHighGrayLevelEmphasis","original_glszm_LargeAreaLowGrayLevelEmphasis","original_glszm_LowGrayLevelZoneEmphasis","original_glszm_SizeZoneNonUniformity","original_glszm_SizeZoneNonUniformityNormalized","original_glszm_SmallAreaEmphasis","original_glszm_SmallAreaHighGrayLevelEmphasis","original_glszm_SmallAreaLowGrayLevelEmphasis","original_glszm_ZoneEntropy","original_glszm_ZonePercentage","original_glszm_ZoneVariance","original_gldm_DependenceEntropy","original_gldm_DependenceNonUniformity","original_gldm_DependenceNonUniformityNormalized","original_gldm_DependenceVariance","original_gldm_GrayLevelNonUniformity","original_gldm_GrayLevelVariance","original_gldm_HighGrayLevelEmphasis","original_gldm_LargeDependenceEmphasis","original_gldm_LargeDependenceHighGrayLevelEmphasis","original_gldm_LargeDependenceLowGrayLevelEmphasis","original_gldm_LowGrayLevelEmphasis","original_gldm_SmallDependenceEmphasis","original_gldm_SmallDependenceHighGrayLevelEmphasis","original_gldm_SmallDependenceLowGrayLevelEmphasis","original_ngtdm_Busyness","original_ngtdm_Coarseness","original_ngtdm_Complexity","original_ngtdm_Contrast","original_ngtdm_Strength"
"original_shape_Elongation",1,0.751922467976414,0.127909536254255,-0.309772407196996,-0.0629940409607132,-0.0787825553057303,-0.00102641628991939,-0.209568147128607,0.0596427093448052,0.120898320609203,0.399945901863713,0.00548480595533016,-0.187896270872932,-0.0103486171366375,-0.0143920478979068,0.0603359429475224,-0.0294836462467798,-0.0238216445995402,0.0193180557388971,-0.0413907432257876,0.00445953289336755,0.00321381802455958,0.0287713001288475,-0.0118440904669852,-0.0211756950355242,-0.0102575897336639,0.00800765796372347,-0.0665933480348528,0.0435626052301884,0.00690480104762499,0.0396968560722323,0.0467135787131932,0.0129320461000346,-0.0683479741138798,0.00235683227877061,-0.0158964296039903,0.0561930623189474,-0.0240498609888459,-0.0271457645127564,-0.00634308746486253,0.0587183438843596,-0.0260961958806051,0.00756645040909691,-0.015845570877062,0.0403089424705193,0.0164276927387829,0.0374085373013938,0.0403193085804665,0.0342415287420645,0.069105671962831,-0.0341409450814833,-0.00261857655493674,0.0558482271927359,0.0295473006406742,0.0121526442083815,0.0263104828096693,0.0749447073315122,0.104590162075749,-0.0271441448080771,-0.0374832056871071,0.00879483443783695,0.057886139620163,-0.0617983743024134,-0.070338429194205,0.0806308425784727,-0.0619556476267682,0.01160178264697,-0.0366464662498087,0.0446999618559548,-0.0156829525272657,0.0151082813070693,-0.0117678023765927,0.0767422555845393,0.1098243997172,0.0498352355415037,0.00835621841069718,0.0651433884059919,0.0171217361938398,0.0179876303153646,-0.00937242112645601,0.0149712542912051,0.0385251617072659,-0.0430946725483543,0.0772921453231432,0.0357449386253404,0.0398706503843154,-0.0556447922850227,0.0981196038526295,0.0602714787012884,0.00661163450068149,0.0317348737804636,0.0798135395973252,0.167008073417974,-0.000834957762151227,-0.0540918194385618,-0.0426659367197579,-0.0298390094534064,-0.00476776269382803,0.0306844952959727,-0.0672496523708832,-0.00999746516217698,-0.00695970903625142,-0.0267139512452694
"original_shape_Flatness",0.751922467976414,1,0.229995148984486,-0.314959187491345,-0.0767259752750458,-0.098914567519279,-0.0466129376010986,-0.228970235621878,0.0746063510240178,0.0353417941306761,0.490505534125963,0.00334663380825774,-0.2375509093427,0.0211230546334487,-0.0328490686293168,0.0718888105131791,-0.0813041538136351,-0.0599744248631147,0.0809657975061407,-0.0810283181067596,0.0196274193326331,-0.030428258015716,0.0569185280447816,0.0127945331727666,-0.0559381208024341,-0.0464383908881893,0.0204602714787013,-0.162727679862131,0.098717760790675,-0.0260864776525296,0.0151795483129561,0.0212578140627619,-0.0149033886651447,-0.0616880724137568,-0.0339099751942228,-0.0474766215875859,0.0271998626490432,-0.0627769998696138,-0.0641288053949123,-0.0302685551343424,0.11861583277521,-0.0795320349240723,0.0639180818161424,-0.0746793997050518,0.0944819091135113,0.0305727356731047,0.0902684093609212,0.0696516744102048,0.0733311575300475,0.141280846263301,-0.0866407567908143,-0.0395998357619455,0.0798208282683818,0.0793579166710534,-0.0175799506475984,-0.00345725963785023,0.134152849910876,0.111656447679895,0.0113379327547208,-0.0111238077961245,-0.0279185256152246,0.0606611796471149,-0.116766615942915,-0.128556770244081,0.139855992056968,-0.116875946008764,-0.0242936265430724,-0.0122470729911815,0.0616887202956285,0.0204610813310409,-0.0223747624095699,-0.0630133147823157,0.110859552977706,0.139242123983534,0.0880154001520903,0.0717354244800545,0.0662164427559923,0.0213899819645884,0.02159276899043,-0.0600090865432506,0.0754751606139653,-0.00690415316575329,-0.0772859904453621,0.111444590307849,0.011878752147121,0.0375136561350769,-0.10757284824258,0.161820645241753,0.089422599577419,-0.0261802585534579,0.00487498714359411,0.141490112107859,0.204692122485307,0.0564912499503965,-0.0419130979848444,-0.0786672745958229,-0.0788151536330381,0.00720088306299112,0.0598286514419826,-0.0855479420437271,-0.0459545851004986,-0.0333694797427585,-0.0565409748840494
"original_shape_LeastAxisLength",0.127909536254255,0.229995148984486,1,0.795439397534647,0.897019360695384,0.902023008691032,0.904816086347897,0.847977317598909,0.974968274034595,0.935570901357555,-0.402090876770438,0.960841533763149,-0.942902980499565,0.582432359107964,0.3290399281499,0.969764648811582,-0.629734214560659,-0.644590469819638,0.665840833240875,0.515990777401556,0.614172739884337,-0.568864902862261,0.610568896973015,0.466256611432038,-0.236586699147144,-0.61966904574289,0.627010681142507,-0.541475858706682,0.663851026042422,-0.530492155365312,-0.322186633711075,-0.307221696268119,-0.429500491175444,0.305135030729847,-0.504637943363786,-0.637360594042888,0.101428012630457,-0.678780168011966,-0.667223737096015,-0.577386493120709,0.618415556291621,-0.499479345930856,0.664171403627976,-0.688741027848392,0.692806972504703,0.787619625313716,0.694239925234432,0.791472740775174,0.697566150763731,0.588341041777853,-0.562612842800372,-0.534058745069012,0.953661706860988,0.654619681193528,-0.50655437794027,-0.318846478721535,0.726913093935583,0.0636208660075008,0.151310543548595,-0.0895704786146342,-0.439929769605108,0.958317062050076,-0.73704791005456,-0.730366466282203,0.721044903882675,-0.736418978727608,-0.378334020358068,-0.140334128878282,0.961298290482696,0.379921654884665,-0.377300324831773,-0.389993302521151,0.900055150944328,0.94291820572355,0.827053927257443,0.306333774162957,0.854526548174471,-0.542472786936758,-0.537706158036205,-0.404451272399503,0.276392885285226,0.197732413449056,-0.763834748010395,0.900964291180789,0.116276007395572,0.925182439485808,-0.750781062088949,0.594473081723009,0.947941557815763,-0.530189918472165,-0.312153373075487,0.702901619947635,0.392614956514979,0.567350478987166,-0.163892409496976,-0.766458507620306,-0.589845423483936,-0.545459846306223,0.894862539713134,-0.971924686971824,-0.448543521059805,-0.726082509376065,-0.872993125163489
"original_shape_MajorAxisLength",-0.309772407196996,-0.314959187491345,0.795439397534647,1,0.898937518175877,0.894403592854713,0.873296748494404,0.977103510945227,0.857081794276449,0.857700845404857,-0.663202982200255,0.888067878583698,-0.728150062399123,0.520305022785196,0.306340091011206,0.853414458941701,-0.524094159911823,-0.549582804567243,0.551219840086557,0.493247208236522,0.548010233294163,-0.500200276483589,0.524915188213733,0.419164507735305,-0.189607002955151,-0.535829082283427,0.558299083328137,-0.385294377276191,0.543854556998622,-0.468790639402718,-0.305229945424051,-0.295110030588123,-0.382319789632756,0.314310333796839,-0.43758751466845,-0.55821453474388,0.099448085630547,-0.58592039313472,-0.572480083706338,-0.516050706474688,0.494351360916364,-0.402783300520816,0.563120620217316,-0.58089914665859,0.578588637933645,0.705018088052005,0.582269740758167,0.682340764808352,0.592488133638594,0.457103174378216,-0.456356004609679,-0.463370621634557,0.832468276059226,0.545114687239076,-0.45222591964807,-0.296706897431391,0.5894244622378,-0.00805543925176123,0.136233198600899,-0.0759722479800258,-0.377122319287524,0.850510652392749,-0.607962954114576,-0.595897611988406,0.580712394709073,-0.607498422812568,-0.339692401884364,-0.123571481211831,0.855839318817,0.333130492317336,-0.335151559816099,-0.328080253127447,0.76003994191739,0.782526140008892,0.704094694414367,0.240467025647214,0.752099663668323,-0.518672360468516,-0.514356819321133,-0.342585356411965,0.211438354444834,0.199196626479094,-0.652075287112901,0.760695922312485,0.109993334915245,0.836420517447054,-0.622659992403585,0.457376418557604,0.821653993827305,-0.468492289800801,-0.294451782606477,0.565044181494388,0.24731708067668,0.484087940245855,-0.126117494997137,-0.65473030702312,-0.497459898136773,-0.511235486433758,0.793222993651567,-0.846497510108982,-0.386673393840101,-0.644374725156362,-0.773444131931425
"original_shape_Maximum2DDiameterColumn",-0.0629940409607132,-0.0767259752750458,0.897019360695384,0.898937518175877,1,0.913680849820031,0.896692684660928,0.933890206552272,0.934911089798856,0.935962938198968,-0.562713707360351,0.948486396856812,-0.842550167143122,0.569619965138018,0.355576266443083,0.930724914575436,-0.58331270214517,-0.607705170206063,0.614092954511484,0.539852201892292,0.605911083540858,-0.548129636545713,0.586714769252646,0.455855207121524,-0.210994164393564,-0.590772743366012,0.619395686086332,-0.447059865899062,0.608767384836172,-0.512422266469636,-0.324044705360428,-0.311624423085533,-0.417420789680421,0.325073148756872,-0.482049617506291,-0.610249269808858,0.106674985573393,-0.645134225309701,-0.630876285809141,-0.558947607410367,0.553856411716417,-0.451108121671805,0.625894421447201,-0.644593885571054,0.643545681548676,0.765653796962484,0.646670209045189,0.75284470007649,0.659159410552337,0.516375444476616,-0.512006483463309,-0.509787462354358,0.909620080161182,0.608787388420622,-0.492852848887667,-0.313677665500688,0.661701485500836,0.0151581008007792,0.135743514211283,-0.100247841988448,-0.416684787350562,0.925269443080461,-0.680492059068032,-0.667852223281225,0.652640833579362,-0.680022906174449,-0.363455654061813,-0.152112196309019,0.924595314185903,0.362842183809977,-0.36209800187676,-0.357138570684425,0.841685558772349,0.870077528930525,0.781913309700553,0.255737080677838,0.81546620464665,-0.554376828856786,-0.549770659346102,-0.372195762715067,0.223856226235953,0.220362725740448,-0.726685032759451,0.842412571637132,0.131330577706657,0.902366391706238,-0.698016008907344,0.518844712856613,0.898602802327581,-0.512114761975085,-0.310872061548957,0.634881375952283,0.302875972856577,0.54288545797312,-0.156006092438198,-0.728276734981179,-0.549209992078319,-0.555650984298652,0.861788594240701,-0.92525324584609,-0.425012514416707,-0.703396163262489,-0.841103268196679
"original_shape_Maximum2DDiameterRow",-0.0787825553057303,-0.098914567519279,0.902023008691032,0.894403592854713,0.913680849820031,1,0.916413390415628,0.928076130734399,0.946588448180515,0.934608740382551,-0.577813840024571,0.963016155893216,-0.847520411989852,0.568202732876722,0.366902128392847,0.943638691231797,-0.590087770346619,-0.610871396771226,0.626488109615727,0.544128802926526,0.609791690002418,-0.546402487860092,0.604155704894788,0.450931935496105,-0.207967866668764,-0.590636856147138,0.623685342449891,-0.475962797278002,0.619492529756015,-0.50879658941303,-0.306401943619535,-0.292683464119927,-0.412937708669472,0.310774383497121,-0.481331447248831,-0.609011226896281,0.108518709861988,-0.648330386421512,-0.635713722897724,-0.552671298402125,0.570891552591035,-0.458973045987779,0.624789102092262,-0.64633027255493,0.657868849032035,0.768521866738697,0.659933913755846,0.764294715935762,0.667730446206581,0.535813554465124,-0.519172286390186,-0.509192611472696,0.92055756995838,0.615434396956868,-0.488160600660155,-0.299161866704991,0.67926481140616,0.0492752674857948,0.129354734297353,-0.106806420617095,-0.413351223728093,0.936867685844775,-0.694316889117737,-0.684350252963357,0.672659665564782,-0.693681229169614,-0.353060873956131,-0.157459018812245,0.935884109584111,0.356095018427584,-0.355045681448627,-0.352810788859965,0.855731350346377,0.891788065566576,0.788895865437784,0.259483938728978,0.838388094702279,-0.528754562484202,-0.523809226890853,-0.368919411313958,0.230278810071541,0.216490277590008,-0.73013526222718,0.856630944014838,0.144643858341986,0.911675094808654,-0.708889448094082,0.547410359952638,0.911755433026075,-0.508452317475271,-0.294878106613772,0.654935451276784,0.347039233010437,0.539033076133832,-0.169649128514302,-0.731820583098685,-0.551803127342897,-0.55999673467268,0.865198383211169,-0.939784319476029,-0.420446902415156,-0.70506601303091,-0.844847546538475
"original_shape_Maximum2DDiameterSlice",-0.00102641628991939,-0.0466129376010986,0.904816086347897,0.873296748494404,0.896692684660928,0.916413390415628,1,0.914417396695872,0.939356444152697,0.951523777543694,-0.566869859160581,0.953077736496745,-0.848855099234978,0.556943731735123,0.319765360958093,0.934443348788625,-0.580996891256286,-0.603975609802353,0.61060641776775,0.539570133738338,0.592942647010449,-0.540099053163103,0.576730873859427,0.451094977013572,-0.205976255000829,-0.583290657121789,0.604424515080483,-0.451967681916537,0.612160052776888,-0.504917448381533,-0.318047324412855,-0.305156057361168,-0.409175824747108,0.320351861413482,-0.474840389816912,-0.608042320706432,0.106987741521411,-0.641873646270563,-0.62812724827322,-0.556238181891524,0.56519782265106,-0.448849235833245,0.630796708092402,-0.648702383967108,0.644919852861145,0.765766319931905,0.647657502874119,0.752787507037595,0.653543482796405,0.533152804811937,-0.512277292124257,-0.503224598475569,0.911543429599516,0.605120508578635,-0.484297122511711,-0.310264247947145,0.671803229368564,0.0281335570555876,0.13298221593019,-0.0963296628234028,-0.406189466794545,0.932019438455874,-0.682951111263781,-0.675353087758657,0.666772461377914,-0.68251670247578,-0.362786165488388,-0.146109395136882,0.934826979368186,0.353493024469905,-0.357807876411724,-0.358548655155916,0.847104992242303,0.880971708678984,0.782936724108948,0.261464769915911,0.834476686662399,-0.546119631781447,-0.541193983590727,-0.373093817857969,0.230346069697437,0.223180268358897,-0.719643104542038,0.848093021178473,0.133044089217669,0.909462737843117,-0.696708766312119,0.544278658521036,0.90293057079938,-0.504586134744002,-0.306115255289037,0.648344182984757,0.327454493688889,0.539569485850511,-0.158147231948458,-0.722048793029654,-0.55068991349906,-0.547645569585981,0.864708347459736,-0.931711529766094,-0.418506705231513,-0.70060751229705,-0.843102179275162
"original_shape_Maximum3DDiameter",-0.209568147128607,-0.228970235621878,0.847977317598909,0.977103510945227,0.933890206552272,0.928076130734399,0.914417396695872,1,0.900317969114864,0.905922566982658,-0.65310632842781,0.927719638103546,-0.778856481440125,0.549031039496682,0.325329393122506,0.89765678732257,-0.558196162547015,-0.585020486283193,0.587824283447862,0.519465763302798,0.581806254872531,-0.527608445083268,0.564114740993285,0.439780861480168,-0.201138371938105,-0.568114126313755,0.593905804613733,-0.416746737654554,0.583094328408941,-0.492863096735382,-0.317451938681349,-0.305694957381455,-0.401704824648664,0.326923915590811,-0.462696989509331,-0.582720175643256,0.0889429151808074,-0.61616036252539,-0.603505981485983,-0.535720757321067,0.53476642481223,-0.435231584973767,0.594217760556031,-0.614208127337166,0.617831659197562,0.73720509908926,0.620574231364209,0.722539120528892,0.628978901066105,0.496756958018258,-0.489793991245955,-0.488645374649482,0.877065427538373,0.581787952161482,-0.474075849756631,-0.308818647062239,0.634157434496612,0.00380971740332012,0.147647808058523,-0.0759706662614627,-0.3989065344944,0.891380739112721,-0.650676765014273,-0.63981783133747,0.626437253793757,-0.650248271013572,-0.355417430377536,-0.125829275794149,0.895780435498295,0.347600229109034,-0.347996895829017,-0.344776428538927,0.807738078489439,0.833303888377405,0.748901179332921,0.258357505802996,0.789356082688066,-0.520354011686788,-0.515633612930627,-0.358017468157256,0.228626938311545,0.201361162903127,-0.689690208396166,0.808615474823514,0.11128105007389,0.873091876575534,-0.666239819372367,0.501049429671847,0.867308705796845,-0.49260969327135,-0.30647063599395,0.60993800766698,0.280555778828906,0.517676308863282,-0.131452257358439,-0.691855597281204,-0.524405632620649,-0.527212669203202,0.833445855866203,-0.892287371193206,-0.404266394341003,-0.677153742167763,-0.811436197946631
"original_shape_MeshVolume",0.0596427093448052,0.0746063510240178,0.974968274034595,0.857081794276449,0.934911089798856,0.946588448180515,0.939356444152697,0.900317969114864,1,0.966528802803385,-0.451413961692365,0.991070892044253,-0.951606787534429,0.599211527762143,0.361755695084115,0.99624147529181,-0.633227755583324,-0.65421912822635,0.668078293284785,0.562272380876795,0.637773456765628,-0.579692304702084,0.627425487510862,0.483667302940655,-0.229982191347052,-0.629879826011323,0.651235308266244,-0.520545710900531,0.666595777591872,-0.540837857033527,-0.335014532800235,-0.319814414237852,-0.439685842080413,0.329387840715002,-0.512893902054838,-0.6495257099773,0.112803198592801,-0.689240058860068,-0.676868430579052,-0.591597781976412,0.617755040723425,-0.498967033340811,0.669479175861865,-0.693799365561677,0.697785620747769,0.812209819783559,0.699778667355581,0.808991142644962,0.70625473257461,0.583292260322175,-0.563245337477618,-0.542955134990237,0.974404130894814,0.658885011495854,-0.517522208175783,-0.32987423803018,0.730413113776965,0.0511258162299268,0.154044119135758,-0.0902352054149967,-0.443011905639245,0.985000562847376,-0.742602525281565,-0.734474361289706,0.724115378043121,-0.742033523027746,-0.388147811009619,-0.14228765469192,0.984979992597949,0.383057403143685,-0.381592542231775,-0.392547576800322,0.915097996182356,0.9561955728612,0.842286439913411,0.304632598338345,0.877151716927453,-0.562677145076138,-0.557658328157027,-0.407180312813565,0.272550459874651,0.217684907510814,-0.776494683724317,0.915975876118507,0.128850908613832,0.951936721377591,-0.758253083715246,0.591904230101725,0.966791518902358,-0.540525092059965,-0.324203975889076,0.704567972121643,0.379544425664868,0.574685473597599,-0.162652687535482,-0.778745749287532,-0.596942969388391,-0.559331645061156,0.915456598798341,-0.993829411083477,-0.452633275374901,-0.744034020277083,-0.89272452953653
"original_shape_MinorAxisLength",0.120898320609203,0.0353417941306761,0.935570901357555,0.857700845404857,0.935962938198968,0.934608740382551,0.951523777543694,0.905922566982658,0.966528802803385,1,-0.50598229824756,0.971574344849703,-0.89595778401724,0.579265998430506,0.354377616329215,0.96401307749558,-0.603394577066763,-0.627497564369089,0.632240545581324,0.548758698826443,0.618772053291523,-0.560835054944432,0.604095585251941,0.467297757599857,-0.220900345240052,-0.606082962893375,0.632290594455913,-0.47365720408198,0.631543262716909,-0.524193123867725,-0.329193476153493,-0.314918370933428,-0.426701803460175,0.325616682310314,-0.493967004995979,-0.630146591371995,0.118437017378621,-0.666169309349826,-0.65302508193681,-0.576410783021932,0.580614888487382,-0.469319472980491,0.634028861517679,-0.659076622559409,0.666801480086136,0.791118835302759,0.669616850759601,0.780043294706076,0.681667939484594,0.543926147945445,-0.532507715868166,-0.523509608493083,0.941409612785301,0.628037087997745,-0.50324775083759,-0.321611962490879,0.693038266332899,0.0322724537635053,0.143051345448184,-0.0954908231582136,-0.425585179054303,0.956651033817004,-0.708010330476444,-0.697910014067135,0.685743440398512,-0.707484574337561,-0.375831900569569,-0.147141423704216,0.95466122661855,0.370478776604662,-0.370744894083462,-0.374819423174573,0.878510001271468,0.914354551734582,0.811579754663332,0.276790198843045,0.845508680402302,-0.566771596534804,-0.561604414667074,-0.389341047446819,0.244549329320785,0.223379789163042,-0.750989032169764,0.879478584669657,0.130524387488429,0.928356574745727,-0.72352629145128,0.551773131204987,0.931541885967931,-0.523924900772842,-0.31728054823764,0.667035203471351,0.341720758054184,0.555197996749253,-0.158586418938235,-0.753109387565365,-0.572437647443741,-0.558302322737495,0.887823951059003,-0.958941782144861,-0.436710282614171,-0.723320426986547,-0.866429919832717
